title,description,category,price_type,price,age_range,address,latitude,longitude,image_url,image_source,date,time,phone,website,has_deal,deal_description,deal_expiry,tags,metro_area,schema_version
SEA LIFE Minnesota Aquarium,"Interactive aquarium with 10,000+ sea creatures including sharks, sea turtles, rays, jellyfish. Hands-on sensory stations for touching sea creatures.",restaurants,Paid,$15-20/person,All ages,"120 East Broadway, Mall of America, Bloomington, MN 55425",44.85475,-93.24008,https://upload.wikimedia.org/wikipedia/commons/c/c0/MoA_Aquarium.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,wikimedia,,10:00 AM - 6:00 PM (varies),(952) 883-0202,https://www.visitsealife.com/minnesota/,True,"$4 off with a Bloomington Coupons coupon; $5 off online super saver tickets; toddler, military, teacher and AAA discounts available",2026-08-31,"family-dining,attraction,kids-menu,all-ages,bloomington,twin-cities,paid","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Skinner's Pub & Eatery,"Neighborhood pub with a recurring kids-eat-free deal: one free kids'-menu meal per paying adult, Sundays 5-9pm, dine-in only.",restaurants,Paid,,0-12,"919 Randolph Ave, St. Paul, MN",44.9285,-93.1385,https://skinnersmn.com/wp-content/uploads/2019/08/Pizza.jpg,curated,,Sun 5-9pm,651-291-0146,https://skinnersmn.com/daily-specials/saturday-kids-eat-free-special/,True,"One free kids'-menu meal per paying adult, Sundays 5-9pm, dine-in only",,"kids-eat-free,recurring,family-dining,pub,sunday,st-paul,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
The Block Food + Drink — St. Louis Park,Family-friendly spot with a recurring kids-eat-free deal. Kids eat free Tuesday nights — one free kids' meal (confirm terms),restaurants,Varies,,family,"7007 Walker St, Saint Louis Park, MN 55426",44.938698,-93.365748,https://static.spotapps.co/website_images/ab_websites/67517_website/about_right.jpg,curated,,,,https://theblockmn.com/,True,Kids eat free Tuesday nights — one free kids' meal (confirm terms),,"family-dining,dog-friendly,patio,kids-menu,kids-eat-free,recurring,tuesday,st-louis-park,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
The Block Food + Drink — Rogers,Family-friendly spot with a recurring kids-eat-free deal. Kids eat free Tuesday nights — one free kids' meal (confirm terms),restaurants,Varies,,family,"21400 John Milless Dr, Rogers, MN 55374",45.193188,-93.55118,https://static.spotapps.co/website_images/ab_websites/67517_website/about_right.jpg,curated,,,763-703-3369,https://theblockmn.com/,True,Kids eat free Tuesday nights — one free kids' meal (confirm terms),,"family-dining,dog-friendly,patio,kids-menu,kids-eat-free,recurring,tuesday,rogers,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Peak Café (Edinborough Park),"Coffee shop inside Edinborough Park's Adventure Peak indoor play park — parents drink while kids play; café is no-admission, Adventure Peak charges ~$10/child. Note seasonal/limited hours (often Fri–Sun).",restaurants,Varies,,All ages,"7700 York Ave S, Edina, MN",44.86412,-93.32145,https://images.pexels.com/photos/5990494/pexels-photo-5990494.jpeg,curated_category,,,,https://www.edinamn.gov/1841/Edinborough-Park,False,,,"family-dining,play-cafe,play-area,coffee,toddlers,preschool,kids,cafe,indoor-park,edina,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Duluth Grill,"Beloved Lincoln Park breakfast-and-lunch spot with fresh, local, from-scratch fare and a strong kids' menu; a decades-long family favorite (no alcohol). Route to restaurants; tags family-dining, breakfast, diner, comfort-food, kids-menu, kids, family, duluth.",restaurants,Varies,$$,All ages,"118 S 27th Ave W, Duluth 55806, MN",46.76066,-92.12999,https://images.pexels.com/photos/33858065/pexels-photo-33858065.jpeg,curated,,Daily 8am-3pm,(218) 726-1150,https://duluthgrill.com/,False,,,"family-dining,breakfast,diner,comfort-food,kids-menu,kids,family,duluth,brunch,organic,family-friendly","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
The Lookout Bar and Grill - Maple Grove,"Longtime casual bar-and-grill with a big patio and a kids' menu — a relaxed, family-welcoming neighborhood spot. Route to restaurants; tags family-dining, american, burgers, kids-menu, kids, family, maple-grove, west-metro, twin-cities.",restaurants,Varies,6,All ages,"8672 Pineview Ln N, 55369, Maple Grove, MN",45.11232,-93.44110,https://images.pexels.com/photos/33858065/pexels-photo-33858065.jpeg,curated,,,,https://lookoutbarandgrill.com/,False,,,"family-dining,american,burgers,kids-menu,kids,family,maple-grove,west-metro,twin-cities,casual,bar-grill","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
TJ's of Edina,"Longtime neighborhood favorite (30+ years) for Chicago-style pizza and half-pound Black Angus burgers in a casual, kid-welcoming setting. Route to restaurants; tags family-dining, pizza, burgers, kids, family, edina, twin-cities.",restaurants,Varies,,All ages,"7100 Amundson Ave, Edina, MN 55439",44.87458,-93.36215,https://tjsofedina.com/images/cheeseburger-1024x793.jpg,curated,,,,https://tjsofedina.com/,False,,,"family-dining,pizza,burgers,kids,family,edina,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Bridgeman's Restaurant & Ice Cream Parlour,"Classic Minnesota ice-cream parlour and family restaurant — burgers, sandwiches, and famous hand-dipped ice-cream treats; an easy, nostalgic stop with kids. Route to restaurants; tags family-dining, ice-cream, dessert, burgers, kids, family, duluth.",restaurants,Varies,$$,All ages,"2202 Mountain Shadow Dr, Duluth, MN 55811",46.805519,-92.165185,https://www.bridgemans.com/site_assets/Spring2025-51%20-%20Copy%202.JPG,curated,,8:00 AM - 9:00 PM,(218) 727-2829,https://www.duluthbridgemans.com/,False,,,"family-dining,ice-cream,dessert,burgers,kids,family,duluth,kids-menu,all-ages,outstate/day-trip,paid,breakfast,historic","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
The Silos at Pier B Resort,"Casual lakeside dining right on the Duluth harbor with big waterfront views and a wide kids' menu — fun for families watching the boats. Route to restaurants; tags family-dining, american, lakeside, kids-menu, kids, family, duluth.",restaurants,Varies,,All ages,"800 W Railroad St, Duluth, MN 55802",46.776540,-92.103245,https://www.pierbresort.com/wp-content/uploads/2025/11/398837389-flatbread_02-1000x500-1.jpg,curated,,,,https://www.pierbresort.com/the-silos/,False,,,"family-dining,american,lakeside,kids-menu,kids,family,duluth","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
