title,description,category,price_type,price,age_range,address,latitude,longitude,image_url,image_source,date,time,phone,website,has_deal,deal_description,deal_expiry,tags,metro_area,schema_version
Heritage Village Park,"Recently rebuilt destination park with a brand-new inclusive, accessibility-first playground (sensory-rich play) and a splash pad (open ~10am-8pm, June-Aug), plus a large covered shelter, picnic tables, permanent restrooms, expanded parking, and a separate 11-acre off-leash dog park; playground open 6am-10pm.",parks,Free,,All ages,"4321 65th St E, Inver Grove Heights, MN",44.855252,-93.019546,https://images.pexels.com/photos/35859043/pexels-photo-35859043.jpeg,curated_category,,,,https://www.ighmn.gov/442/Heritage-Village-Park-and-Off-Leash-Dog-,False,,,"playground,destination-playground,accessible,inclusive,splash-pad,inver-grove-heights,south-metro,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Lake Harriet Southeast Beach,"Route to parks; tags beach, swimming, lake, free, outdoor, kids, family, minneapolis, twin-cities.",parks,Free,,All ages,"Minneapolis, MN",44.91712,-93.30053,https://www.minneapolisparks.org/wp-content/uploads/2018/11/lake_harriet_sailboats.jpg,curated,,,,,False,,,"beach,swimming,lake,free,outdoor,kids,family,minneapolis,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Bryant Lake Regional Park Beach,"Three Rivers park (may charge a vehicle fee — note in description). Route to parks; tags beach, swimming, lake, regional-park, outdoor, kids, family, eden-prairie, west-metro, twin-cities.",parks,Free,,All ages,"Eden Prairie, MN",44.88472,-93.43067,https://images.pexels.com/photos/9828152/pexels-photo-9828152.jpeg,curated_category,,,,,False,,,"beach,swimming,lake,regional-park,outdoor,kids,family,eden-prairie,west-metro,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Lake Elmo Park Reserve Swim Pond,"Washington County reserve — chlorinated swim pond with sand beach (vehicle fee). Route to parks; tags beach, swimming, swim-pond, regional-park, outdoor, kids, family, lake-elmo, east-metro, twin-cities.",parks,Free,,All ages,"Lake Elmo, MN",44.97993,-92.90816,https://images.pexels.com/photos/9828152/pexels-photo-9828152.jpeg,curated_category,,,,,False,,,"beach,swimming,swim-pond,regional-park,outdoor,kids,family,lake-elmo,east-metro,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Fish Lake Regional Park Beach,"Three Rivers park (possible vehicle fee). Route to parks; tags beach, swimming, lake, regional-park, outdoor, kids, family, maple-grove, west-metro, twin-cities.",parks,Free,,All ages,"Maple Grove, MN",45.07649,-93.46531,https://images.pexels.com/photos/9828152/pexels-photo-9828152.jpeg,curated_category,,,,,False,,,"beach,swimming,lake,regional-park,outdoor,kids,family,maple-grove,west-metro,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Lake Rebecca Park Reserve Beach,"Three Rivers reserve (possible vehicle fee). Route to parks; tags beach, swimming, lake, regional-park, outdoor, kids, family, greenfield, west-metro, twin-cities.",parks,Free,,All ages,"Greenfield, MN",45.06654,-93.75648,https://images.pexels.com/photos/12799741/pexels-photo-12799741.jpeg,curated_category,,,,,False,,,"beach,swimming,lake,regional-park,outdoor,kids,family,greenfield,west-metro,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Wabun Splash Pad (Minnehaha Regional Park),"Free sprinkler/splash play at the Wabun picnic area near Minnehaha Falls. Route to parks; tags splash-pad, water-play, free, outdoor, toddlers, kids, family, minneapolis, twin-cities.",parks,Free,,All ages,"Minneapolis, MN",44.91571,-93.20438,https://www.minneapolisparks.org/wp-content/uploads/2018/11/minnehaha_park_fallsfamily.jpg,curated,,,,,False,,,"splash-pad,water-play,free,outdoor,toddlers,kids,family,minneapolis,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Elm Creek Park Reserve Swim Pond & Play Area,"Three Rivers chlorinated swim pond with sand beach plus a large play area (small swim fee/vehicle fee — note in description). Route to parks; tags swim-pond, beach, splash, play-area, regional-park, outdoor, kids, family, maple-grove, west-metro, twin-cities.",parks,Free,,All ages,"Maple Grove, MN",45.16848,-93.42680,https://images.pexels.com/photos/19734995/pexels-photo-19734995.jpeg,curated_category,,,,,False,,,"swim-pond,beach,splash,play-area,regional-park,outdoor,kids,family,maple-grove,west-metro,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Lake Nokomis Main Beach,"Route to parks; tags beach, swimming, lake, free, outdoor, kids, family, minneapolis, twin-cities.",parks,Free,,All ages,"Minneapolis, MN",44.91213,-93.24251,https://images.pexels.com/photos/12799741/pexels-photo-12799741.jpeg,curated_category,,,,,False,,,"beach,swimming,lake,free,outdoor,kids,family,minneapolis,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Bde Maka Ska Beach,"Route to parks; tags beach, swimming, lake, free, outdoor, kids, family, minneapolis, twin-cities.",parks,Free,,All ages,"Minneapolis, MN",44.94905,-93.31413,https://www.minneapolisparks.org/wp-content/uploads/2018/12/Lake-Calhoun_spring_sailing.jpg,curated,,,,,False,,,"beach,swimming,lake,free,outdoor,kids,family,minneapolis,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
